author,content,description,publishedAt,source/id,source/name,title,url,urlToImage
"Contributors to Wikimedia projects","The Doomsday Clock is a symbol that represents the likelihood of a man-made global catastrophe. Maintained since 1947 by the members of the Bulletin of the Atomic Scientists,[1] the Clock is a metaphor for threats to humanity from unchecked scientific and tec… [+26628 chars]","Comments","2020-03-04T19:12:14Z","","Wikipedia.org","Doomsday Clock at the shortest distance to midnight ever","https://en.wikipedia.org/wiki/Doomsday_Clock",""
"Natalie Wolchover","Editor's Note: An original version of this article, written by Natalie Wolchover, appeared on Live Science Oct. 26, 2012. An updated version by Live Science staff was republished on May 30, 2017.\\n\\nMembers of the Flat Earth Society claim to believe the Earth i… [+10228 chars]","Comments","2020-03-23T09:25:34Z","","Livescience.com","Are Flat Earthers Being Serious?","https://www.livescience.com/24310-flat-earth-belief.html","https://cdn.mos.cms.futurecdn.net/A48entFsWFbCRXNzXThyrL-1200-80.jpg"
"Contributors to Wikimedia projects","A wicked problem is a problem that is difficult or impossible to solve because of incomplete, contradictory, and changing requirements that are often difficult to recognize. It refers to an idea or problem that can not be fixed, where there is no single solut… [+23236 chars]","Comments","2020-03-02T22:27:57Z","","Wikipedia.org","Wicked problem","https://en.wikipedia.org/wiki/Wicked_problem",""
"Jason Jacobs","Todays guest is David Heinemeier Hansson (aka @DHH), Co-Founder &amp; CTO of Basecamp, an online collaboration tool. \\n\\nDavid is a prominent figure in the tech industry and a polymath whose writings and opinions have touched upon a range of subjects, including… [+57392 chars]","Today’s guest is David Heinemeier Hansson (aka @DHH), Co-Founder &amp; CTO of Basecamp, an online collaboration tool.    David is a prominent figure in the tech industry and a polymath whose writings and opinions have touched upon a range of subjects, includi…","2020-02-27T11:42:36Z","","Myclimatejourney.co","DHH on climate change and “taking the red pill”","https://www.myclimatejourney.co/episodes/david-heinemeier-hansson","http://static1.squarespace.com/static/5ca65ab377b9030e46ce0156/t/5e5048e32772ef171f954c8a/1582319850750/DHH%2BPhoto.jpg?format=1500w"
"","Freeman Dyson the world-renowned mathematical physicist who helped found quantum electrodynamics with the bongo-playing, Nobel Prize-winning physicist Richard Feynman and others, devised numerous mathematical techniques, led the team that designed a low-power… [+15267 chars]","A conversation with the mathematical physicist Freeman Dyson on quantum electrodynamics, climate change and his latest pet project.","2020-02-28T18:27:58Z","","Quantamagazine.org","Freeman Dyson: A ‘Rebel’ Without a PhD","https://www.quantamagazine.org/a-math-puzzle-worthy-of-freeman-dyson-20140326/","https://d2r55xnwy6nx47.cloudfront.net/uploads/2014/03/dyson_landing.jpg"
"","I first met Jimbo Wales, the face of Wikipedia, when he came to speak at Stanford. Wales told us about Wikipedia’s history, technology, and culture, but one thing he said stands out. “The idea that a lot of people have of Wikipedia,” he noted, “is that it’s s… [+66783 chars]","Comments","2020-03-03T06:18:50Z","","Aaronsw.com","Who Writes Wikipedia?","http://www.aaronsw.com/weblog/whowriteswikipedia.html",""
"Maddie Stone, Jordan Pearson","The Great Barrier Reef, the largest living structure on the planet, appears to be on the brink of yet another devastating mass bleaching event driven by prolonged exposure to extreme heat.\\n\\n Between 2016 and 2017, half of all corals on the Great Barrier Reef … [+4399 chars]","Forecasts for the largest living structure on Earth have become ""devastating,"" scientists say, and the coral carnage will be even more widespread than the last mass bleaching in 2016-2017.","2020-03-04T16:06:41Z","vice-news","Vice News","The Great Barrier Reef Is Heading for a Mass Die-Off of Unprecedented Scale","https://www.vice.com/en_us/article/y3mxmg/great-barrier-reef-coral-bleaching-2020","https://video-images.vice.com/test-uploads/articles/5e5fcb04a8b206009b8aa173/lede/1583337779185-GettyImages-694750716.jpeg?crop=1xw:0.8604xh;0xw,0.0443xh&resize=1200:*"
"Becky Ferreira, Jordan Pearson","On Christmas Eve, 1968, the astronauts aboard NASAs Apollo 8 spacecraft became the first humans to behold the entirety of Earth with their own eyes. That day, crew member Bill Anders took an iconic photograph called Earthrise'' that captured our home world em… [+16284 chars]","New high-resolution satellites, AIs, and data tools are going to let us study Earth, and ourselves, in greater detail than ever before. That's going to come with ""unthinkable"" problems.","2020-03-16T12:00:00Z","vice-news","Vice News","New Earth Surveillance Tech Is About to Change Everything, Including Us","https://www.vice.com/en_us/article/wxebk5/new-earth-surveillance-tech-is-about-to-change-everything-including-us","https://video-images.vice.com/test-uploads/articles/5e6be6a453b759009d3d0cab/lede/1584129766813-3_12_2020_geospatial_tech_cv.jpeg?crop=1xw:1xh;center,center&resize=1200:*"
"Chelsea Harvey, E&E News","President Trump assured the American public that the onset of warmer weather could halt the spread of the coronavirus. But experts caution there's no evidence to support that idea.\\n\\nHis assertion raises new questions about the role temperatures have on infect… [+9261 chars]","Scientists expect to see changes in the timing, location and severity of disease outbreaks as global temperatures rise -- Read more on ScientificAmerican.com","2020-03-09T20:00:00Z","","Scientificamerican.com","What Could Warming Mean for Pathogens Like Coronavirus?","https://www.scientificamerican.com/article/what-could-warming-mean-for-pathogens-like-coronavirus/","https://static.scientificamerican.com/sciam/cache/file/DA67D949-C678-4021-9BA5F5B00C81E42A.jpg"
"Andrea Thompson","It was only last week that the massive wildfires that, in January, began tearing through the national park near Australia’s capital city of Canberra were finally declared out. In the intervening weeks they consumed more than 80 percent of the park. This is ju… [+5911 chars]","Such an extreme fire season is at least 30 percent more likely because of global warming, a new analysis finds -- Read more on ScientificAmerican.com","2020-03-04T20:45:00Z","","Scientificamerican.com","Yes, Climate Change Did Influence Australia's Unprecedented Bushfires","https://www.scientificamerican.com/article/yes-climate-change-did-influence-australias-unprecedented-bushfires/","https://static.scientificamerican.com/sciam/cache/file/9775A8FB-E31C-4667-B665FBAAFF2C30B3.jpg"
"Chelsea Harvey, E&E News","Small levels of global warming can increase the likelihood of extreme events, new research warns. That’s prompting scientists to question how accurately disasters in the recent past can be used to predict extreme events today.\\n\\nA study published Wednesday in … [+4727 chars]","The likelihood of extreme events today is being underestimated, new research suggests -- Read more on ScientificAmerican.com","2020-03-20T16:30:00Z","","Scientificamerican.com","In Just 10 Years, Warming Has Increased the Odds of Disasters","https://www.scientificamerican.com/article/in-just-10-years-warming-has-increased-the-odds-of-disasters/","https://static.scientificamerican.com/sciam/cache/file/EB8D4682-D993-4634-A6A4BF67759DD5BC.jpg"
"Andrea Thompson","When Christiana Figueres took the reins of the United Nations’ international climate negotiations in 2010, hopes were not high that the world would come together to forge an agreement to tackle global warming—especially after talks had fallen apart in Copenha… [+10711 chars]","It is possible for the world to cut emissions enough to limit warming to 1.5 degrees Celsius. But tenacious belief will be needed to achieve that goal -- Read more on ScientificAmerican.com","2020-03-24T10:45:00Z","","Scientificamerican.com","Paris Climate Agreement Architects Make a Case for ""Stubborn Optimism""","https://www.scientificamerican.com/article/paris-climate-agreement-architects-make-a-case-for-stubborn-optimism/","https://static.scientificamerican.com/sciam/cache/file/E51EB0C6-C77E-446C-A7A3342A120538BD.jpg"
"John Fialka, E&E News","Solar energy appears to be heading toward a global growth spurt, due to a combination of new technology and expanding reach to consumers as it becomes more competitive with the cost of traditional energy sources.\\n\\nOne sign of the potential of new technology c… [+3963 chars]","Solar panels floating in reservoirs and other water bodies could meet substantial energy demand -- Read more on ScientificAmerican.com","2020-03-11T18:00:00Z","","Scientificamerican.com","Floating Panels Buoy Predictions of Global Solar Growth Spurt","https://www.scientificamerican.com/article/floating-panels-buoy-predictions-of-global-solar-growth-spurt/","https://static.scientificamerican.com/sciam/cache/file/14638777-7276-444A-B343E9BE00CD27E2.jpg"
"Lee Billings","The universe in which the classic PBS series Cosmos debuted 40 years ago no longer really exists. In 1980 the Internet was in its infancy, scientists were just starting to sound the alarm about global warming, and present-day scientific realities such as exop… [+498 chars]","Cosmos co-creator discusses communicating her dream for humanity -- Read more on ScientificAmerican.com","2020-03-03T14:00:00Z","","Scientificamerican.com","Ann Druyan Is Reimagining the Future","https://www.scientificamerican.com/article/ann-druyan-is-reimagining-the-future/","https://static.scientificamerican.com/sciam/cache/file/BC7C46F4-04A6-49A9-B630A3CF089A1D2F.jpg"
"Scott Waldman, E&E News","In selecting Rep. Mark Meadows of North Carolina to serve as his next chief of staff, President Trump is bringing into the White House a Republican lawmaker who has raised concerns about climate change and expressed a desire to do something about it.\\n\\nThe app… [+6151 chars]","While he opposed the Paris climate agreement, Rep. Mark Meadows has signaled support for renewables and a possible carbon tax -- Read more on ScientificAmerican.com","2020-03-10T17:45:00Z","","Scientificamerican.com","Trump's Next Chief of Staff Is Open to Doing More on Climate","https://www.scientificamerican.com/article/trumps-next-chief-of-staff-is-open-to-doing-more-on-climate/","https://static.scientificamerican.com/sciam/cache/file/C93573B5-7C91-48C6-A3CE92E4E1B50A6C.jpg"
"Chelsea Harvey, E&E News","Enormous, swirling gyres compose some of the world’s biggest and most important ocean currents. Found in the North and South Pacific, the North and South Atlantic, and the Indian Ocean, these massive, rotating currents help transport heat and nutrients around… [+4072 chars]","The shift, which may be linked to climate change, can affect sea levels and the distribution of heat and nutrients -- Read more on ScientificAmerican.com","2020-02-28T17:30:00Z","","Scientificamerican.com","The Ocean's Swirling Currents Are Migrating Poleward","https://www.scientificamerican.com/article/the-oceans-swirling-currents-are-migrating-poleward/","https://static.scientificamerican.com/sciam/cache/file/A0718230-A4ED-4727-92A96C4B8FA22672.jpg"
"Nathanial Gronewold, E&E News","Smoke from Australia’s disastrous bush fires killed hundreds of people and sent thousands to hospitals and emergency rooms, according to a new study.\\n\\nThe estimated death toll does not include fatalities resulting directly from the flames that spread across m… [+2005 chars]","Exposure to particulate matter led to heart and lung problems for thousands -- Read more on ScientificAmerican.com","2020-03-24T17:30:00Z","","Scientificamerican.com","Smoke from Australia's Bushfires Killed Hundreds","https://www.scientificamerican.com/article/smoke-from-australias-bushfires-killed-hundreds1/","https://static.scientificamerican.com/sciam/cache/file/D80CA9DF-EAB1-4238-9C8AF68654AFAC43.jpg"
"Chelsea Harvey, E&E News","The notorious Antarctic “ozone hole” sparked worldwide concern after its discovery in the 1980s, and for good reason — declining ozone allows harmful ultraviolet radiation to reach the Earth’s surface, a major threat to public health.\\n\\nBut the ozone hole had … [+5067 chars]","The Southern Hemisphere jet stream is shifting, bringing more rain to some spots and less to others -- Read more on ScientificAmerican.com","2020-03-26T17:30:00Z","","Scientificamerican.com","Shrinking Ozone Hole, Climate Change Are Causing Atmospheric ""Tug of War""","https://www.scientificamerican.com/article/shrinking-ozone-hole-climate-change-are-causing-atmospheric-tug-of-war/","https://static.scientificamerican.com/sciam/cache/file/6DB2493F-3543-45C1-8E08C2CEB23BC4C8.jpg"
"Wade Roush","Ocean water expands as it soaks up heat from a warming atmosphere. Add in water from melting glaciers and ice sheets, and the global mean sea level will most likely rise by anywhere from 1.4 to 2.8 feet (43 to 84 centimeters) by 2100, according to the Intergo… [+3715 chars]","Failing to protect our coasts from sea-level rise would cost vastly more -- Read more on ScientificAmerican.com","2020-03-13T13:00:00Z","","Scientificamerican.com","Pricey Storm-Surge Barriers May Be Worth It","https://www.scientificamerican.com/article/pricey-storm-surge-barriers-may-be-worth-it/","https://static.scientificamerican.com/sciam/cache/file/87C01B5E-9F48-4FDC-BD256AA4F62F0E93.jpg"
"John Fialka, E&E News","Companies in the U.S. natural gas industry have begun to scale up a program to sell methane that’s recycled from sources like hog-feeding farms and sewage plants as a replacement for natural gas drawn from wells.\\n\\nIt offers an opportunity to reduce a potent g… [+9272 chars]","Methane can be captured from human and animal waste and energy and heating -- Read more on ScientificAmerican.com","2020-03-06T18:00:00Z","","Scientificamerican.com","Gas Companies Want to Recycle Your Manure","https://www.scientificamerican.com/article/gas-companies-want-to-recycle-your-manure/","https://static.scientificamerican.com/sciam/cache/file/B596CD51-B4DC-457B-8B36ABD760C2C585.jpg"
"Alex Lubben, VICE News","Want the best of VICE News straight to your inbox? Sign up here.\\n\\nEurope had, by far, its hottest winter on record this year. \\n\\nWhen temperature records are broken, its usually by a sliver of a degree. But this winter, Europe was hotter by a whopping 6.12 deg… [+2721 chars]","In Germany, the grapes used for ice wine never even froze.","2020-03-05T18:34:26Z","vice-news","Vice News","Buongiorno, It Was Really Hot in Europe This Winter","https://www.vice.com/en_us/article/wxe7nm/buongiorno-it-was-really-hot-in-europe-this-winter","https://video-images.vice.com/test-uploads/articles/5e6135f303a008009d200ab1/lede/1583429582683-AP_20017531734507.jpeg?crop=1xw:0.819518236645606xh;center,center&resize=1200:*"
"Geoff Dembicki, Harry Cheadle","Two people who were central to creating the 2015 Paris agreement have written a step-by-step guide for what you can personally do to fix the climate emergency. It includes such tips as setting aside time each day to do a ""breathing exercise of gratitude,"" cul… [+9854 chars]","Christiana Figueres' new book, 'The Future We Choose,' showcases the kind of climate activism rich people love.","2020-02-27T15:27:12Z","vice-news","Vice News","The Architect of the Paris Agreement Wants Us to Forgive… Oil Executives?","https://www.vice.com/en_us/article/4ag7dq/the-architect-of-the-paris-agreement-wants-us-to-forgive-oil-executives","https://video-images.vice.com/test-uploads/articles/5e57d96e2e0d32009bf27648/lede/1582816024452-ARC_Getty_170408973_Businessman_in_private_jet_with_drink_VICE_RF.jpeg?crop=1xw:0.8425xh;0xw,0.1511xh&resize=1200:*"
"https://www.facebook.com/bbcnews","Image copyrightGetty ImagesImage caption\\n\\n Investors are facing scrutiny like never before\\n\\nEver wondered if your bank or insurance company is funding the coal industry? Or whether your pension fund is backing oil companies drilling new wells in the Arctic?\\n\\n… [+3312 chars]","Investors are facing scrutiny like never before about what they're doing to tackle climate change.","2020-02-27T09:55:14Z","bbc-news","BBC News","Climate change: Pressure on big investors to act on environment","https://www.bbc.co.uk/news/science-environment-51657829","https://ichef.bbci.co.uk/news/1024/branded_news/7F73/production/_110872623_bp.jpg"
"https://www.facebook.com/bbcnews","Media captionWhy is Antarctica's mighty Thwaites Glacier melting?\\n\\nEarth's great ice sheets, Greenland and Antarctica, are now losing mass six times faster than they were in the 1990s thanks to warming conditions.\\n\\nA comprehensive review of satellite data acq… [+4108 chars]","The Earth's great ice sheets are losing mass six times faster today than they were in the 1990s.","2020-03-12T04:34:41Z","bbc-news","BBC News","Greenland and Antarctica ice loss accelerating","https://www.bbc.co.uk/news/science-environment-51846468","https://ichef.bbci.co.uk/images/ic/1024x576/p081srz8.jpg"
"Kemal Derviş, Sebastián Strauss","Throughout history, crisis and human progress have often gone hand in hand. While the growing COVID-19 threat could strengthen nationalism and isolationism and accelerate the retreat from globalization, the outbreak also could spur a new wave of international… [+6860 chars]","Both threats raise the question of how the world should organize itself against the threat of pandemics.","2020-03-07T16:58:06Z","","Marketwatch.com","Project Syndicate: Amid rise of nationalism, coronavirus and climate change may spur a new wave of international cooperation","http://www.marketwatch.com/story/amid-rise-of-nationalism-coronavirus-and-climate-change-may-spur-a-new-wave-of-international-cooperation-2020-03-07","https://s.marketwatch.com/public/resources/images/MW-IB736_corona_ZH_20200307114308.jpg"
